N:		T[ms]		Stdev[ms]	  Samples 
100		0.00208		0.000294958		5

100		0.00288		8.3666e-05		5

100		0.00234		0.000207364		5

100		0.00118		8.3666e-05		5

100		0.00222		0.000130384		5

100		0.00126		0.000151658		5

100		0.00864		0.000194936		5

100		0.00612		0.000584808		5

100		0.00638		4.47214e-05		5

200		0.0074		0.000632456		5

200		0.0116		7.07107e-05		5

200		0.00752		0.000614003		5

200		0.00384		0.000134164		5

200		0.0073		0.000173205		5

200		0.00412		0.000130384		5

200		0.03676		0.00282099		5

200		0.0351		0.000122474		5

200		0.03504		5.47723e-05		5

300		0.01384		0.000512835		5

300		0.02536		0.000114018		5

300		0.01466		0.000151658		5

300		0.00898		0.000164317		5

300		0.01486		0.000134164		5

300		0.00944		0.000151658		5

300		0.07894		5.47723e-05		5

300		0.07886		5.47723e-05		5

300		0.0791		0.000509902		5

400		0.02544		0.00185822		5

400		0.04522		0.00189394		5

400		0.02494		0.000497996		5

400		0.0128		7.07107e-05		5

400		0.02532		0.00140961		5

400		0.01294		0.000114018		5

400		0.141		0.00141244		5

400		0.1428		0.0052683		5

400		0.14052		0.000465833		5

500		0.03658		0.00172395		5

500		0.06968		0.00264329		5

500		0.03912		0.00440647		5

500		0.01916		0.000151658		5

500		0.03686		0.000219089		5

500		0.03036		0.014481		5

500		0.2153		0.00152151		5

500		0.22894		0.0374093		5

500		0.20348		8.3666e-05		5

600		0.0553		0.0037182		5

600		0.10258		0.00539926		5

600		0.05438		0.00430198		5

600		0.03554		0.0121441		5

600		0.0672		0.009995		5

600		0.03208		0.00430778		5

600		0.32366		0.00545738		5

600		0.32178		0.0063806		5

600		0.32488		0.00513001		5

700		0.07204		0.00521948		5

700		0.144		0.00850706		5

700		0.09676		0.0154275		5

700		0.03564		0.000207364		5

700		0.0852		0.0154318		5

700		0.03636		0.000378153		5

700		0.44436		0.0143497		5

